reply_text,username,date,likes,replies
BREAKING: 🇺🇸🇮🇷 American troops take cover as Iranian ballistic missile strikes US military base in the Middle East. https://t.co/50yA2uiwCF,BRICSinfo,Tue Mar 31 23:17:25 +0000 2026,17240,418
@BRICSinfo https://t.co/wWzIKsdn6Q,ShaanUnfiltered,Wed Apr 01 04:53:42 +0000 2026,0,0
@BRICSinfo https://t.co/lgvBKFMWzG,Xeel64985121,Tue Mar 31 23:56:10 +0000 2026,0,0
@BRICSinfo There have been real reports of Iranian strikes targeting U.S. bases in the region—showing how vulnerable even major military powers can be in this escalating conflict.,RecepMara799675,Wed Apr 01 10:00:11 +0000 2026,0,0
"@BRICSinfo the correspondence with different news channels is disrupting the communication from not leaving court to the axis countries… 
still in the middle part of the forest, missing the southern part of your (lips) @USFleetForces the prisoners of war have been played with their moms",underworldloaf,Wed Apr 01 00:20:05 +0000 2026,0,0
@BRICSinfo Where is his trouser? https://t.co/Dt5Xv6gsuK,MashalBaloch007,Wed Apr 01 05:29:38 +0000 2026,0,0
@BRICSinfo Caught off guard with no pants on  🤣,0xDigi1of1,Wed Apr 01 06:18:03 +0000 2026,0,0
@BRICSinfo https://t.co/9M03P3jLQS,Iranarmy001,Wed Apr 01 01:07:00 +0000 2026,26,5
@BRICSinfo https://t.co/kgmNymfCqM,akashrraja,Wed Apr 01 05:39:32 +0000 2026,0,0
"@BRICSinfo Trump: 'Peace through strength!'  
Reality: US troops scurrying like scared cats as Iranian missiles rain down. 

Thanks for the show, Don. Nothing says 'winning' like soldiers hiding from fireworks. 🫡💥 #Iran https://t.co/bLxtz3DKrX",RealBilal,Tue Mar 31 23:19:14 +0000 2026,145,8
@BRICSinfo OMG,suntroyd,Tue Mar 31 23:18:03 +0000 2026,1,0
@BRICSinfo Fuck them...,Thinker_Brain1,Wed Apr 01 01:13:52 +0000 2026,0,0
@BRICSinfo This are american troops? bro don’t even have a pants on to begin with https://t.co/5O7sALtui5,Odirile_N,Tue Mar 31 23:40:03 +0000 2026,54,9
@BRICSinfo Land &amp; Oil Never Ask For Money = Social Credit From You But Satans Ruling You Human Slaves In Every Prison Block Called Country Make You Earn &amp; Pay Money = Social Credit To Be Alive ; If This Is Not Slavery Then What Else ?,Irfan0Ali0,Tue Mar 31 23:54:10 +0000 2026,1,0
@BRICSinfo hellfire,dannymurrayx,Wed Apr 01 06:08:59 +0000 2026,0,0
@BRICSinfo Come on! Useless missile,NacionalValle,Wed Apr 01 01:00:08 +0000 2026,0,0
@BRICSinfo Hit those rats.,Basil567879,Wed Apr 01 04:46:36 +0000 2026,0,0
@BRICSinfo https://t.co/CYespdt9SX,DolapoOluwo,Wed Apr 01 07:07:24 +0000 2026,0,0
@BRICSinfo @grok is this a.i generated?,roy42801,Wed Apr 01 08:15:41 +0000 2026,0,1
@BRICSinfo https://t.co/3W4NOM14Td,MiyangaMuya,Wed Apr 01 07:44:51 +0000 2026,7,0
@BRICSinfo At every Hour Death is near https://t.co/yGzHlzW9pv,SAMBO30000,Tue Mar 31 23:19:41 +0000 2026,17,1
"@BRICSinfo Pray for our soldiers. 

These comments are disgusting.",idcjustwatch,Wed Apr 01 07:06:34 +0000 2026,0,0
@BRICSinfo https://t.co/duKGuYaIn7,FirearmBeasts,Tue Mar 31 23:38:08 +0000 2026,0,0
@BRICSinfo Israel please increase US budget for pants,highxdope,Wed Apr 01 08:05:43 +0000 2026,0,0
@BRICSinfo This looks real.,Svetlana554219,Wed Apr 01 05:22:04 +0000 2026,0,0
@BRICSinfo Sad reality!!! https://t.co/KsBUk8etWh,maxilham007,Tue Mar 31 23:55:17 +0000 2026,2,0
@BRICSinfo https://t.co/obxwQJWvGe,sneakostreamer,Tue Mar 31 23:43:54 +0000 2026,6,0
@BRICSinfo Surprise surprise motherfucker https://t.co/WuN2tymD8G,ArtThur423629,Wed Apr 01 00:21:40 +0000 2026,0,0
@BRICSinfo They are seeing flames😭😂😂😂,Katlegomdouva,Wed Apr 01 02:19:45 +0000 2026,0,0
@BRICSinfo https://t.co/N2H93kzaQ0,TlaverdadT,Wed Apr 01 09:38:01 +0000 2026,4,0
@BRICSinfo @grok is this AI????,Conthegreat77,Wed Apr 01 00:14:36 +0000 2026,1,1
@BRICSinfo https://t.co/YkLHtp93g5,captaintytan,Tue Mar 31 23:22:56 +0000 2026,38,2
@BRICSinfo Damnnn,Tsock36qg,Wed Apr 01 02:40:44 +0000 2026,0,0
@BRICSinfo https://t.co/loMVncClN9,captaintytan,Tue Mar 31 23:22:24 +0000 2026,229,0
@BRICSinfo Die for Israel,nikam_pran44823,Wed Apr 01 07:49:38 +0000 2026,0,0
"@BRICSinfo Iran will surrender, and the United States will control the Strait of Hormuz since the middle eastern nations can’t seem to handle themselves",Seymourbutts28,Wed Apr 01 00:01:31 +0000 2026,19,30
@BRICSinfo Oh no,ContextXplained,Tue Mar 31 23:57:04 +0000 2026,0,0
@BRICSinfo Is the Middle East spiraling out control,VectorCryptoZ,Wed Apr 01 00:04:45 +0000 2026,0,0
@BRICSinfo https://t.co/ASXcRdcJk8,captaintytan,Tue Mar 31 23:22:33 +0000 2026,91,1
@BRICSinfo Iran is running out of real missles. Their recent missles are not having real impact as before,Chibuba_ekeke,Tue Mar 31 23:21:27 +0000 2026,4,10
@BRICSinfo https://t.co/qXOL8YjVRl,rafi_sadique,Tue Mar 31 23:40:01 +0000 2026,59,0
@BRICSinfo Something ain't right,Samdee_official,Tue Mar 31 23:48:10 +0000 2026,0,0
@BRICSinfo Thank God the person is safe 🙏,MsVeilGirl,Wed Apr 01 00:42:29 +0000 2026,0,0
@BRICSinfo https://t.co/6VeoDBkXrc,sire_lamar,Wed Apr 01 05:45:35 +0000 2026,5,0
