link,comment,perception,sentiment
https://x.com/BRICSinfo/status/2039119905748857198?s=20,There have been real reports of Iranian strikes targeting U.S. bases in the region—showing how vulnerable even major military powers can be in this escalating conflict.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"the correspondence with different news channels is disrupting the communication from not leaving court to the axis countries… still in the middle part of the forest, missing the southern part of your (lips) @USFleetForces the prisoners of war have been played with their moms",uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Where is his trouser?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Caught off guard with no pants on 🤣,disbelieve,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Trump: 'Peace through strength!' Reality: US troops scurrying like scared cats as Iranian missiles rain down. Thanks for the show, Don. Nothing says 'winning' like soldiers hiding from fireworks. 🫡💥 #Iran",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Fuck them...,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This are american troops? bro don’t even have a pants on to begin with,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,hellfire,believe,negative 
https://x.com/BRICSinfo/status/2039119905748857198?s=20,OMG,believe,negative 
https://x.com/BRICSinfo/status/2039119905748857198?s=20,hellfire,believe,negative 
https://x.com/BRICSinfo/status/2039119905748857198?s=20,No more invading Iraq I tell you,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Come on! Useless missile,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Hit those rats.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok is this a.i generated?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,At every Hour Death is near,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Pray for our soldiers. These comments are disgusting.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Israel please increase US budget for pants,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This looks real.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Sad reality!!!,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Surprise surprise motherfucker,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They are seeing flames😭😂😂😂,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok is this AI????,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Die for Israel,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Iran will surrender, and the United States will control the Strait of Hormuz since the middle eastern nations can’t seem to handle themselves",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Is the Middle East spiraling out control,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Iran is running out of real missles. Their recent missles are not having real impact as before,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Something ain't right,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Thank God the person is safe 🙏,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok always be cautious,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Geopolitical events like this introduce volatility. Consider assessing the market's probability pricing for impact on oil and defense sectors.,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,1. Where is your pant ?,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Look at American troop? 😂😂bro don’t even have a pant on,disbelieve,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"American troops are the finest in the world, they take the hit and keep fighting. This is why we need unmatched strength: to protect our warriors and interests. USA will never back down from evil regimes. We stand tall, fight hard, and win. God bless our troops and America! 🇺🇸💪",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,American citizens should blame Trump for sending their sons and daughters to an early death by flighting for a foreign genocidal country like Israel.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,US troops taking cover in the Middle East,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Pretty terrifying👀,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why do conflicts like this always drag innocent people into it war ?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This happened yesterday,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@MrSmegOfficial Ok things are bad😭,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,this video could literally be any fucking thing LMAO,disbelieve,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok is this true. They don't look American.,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Remind me why Israeli troops aren’t involved?,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"American soldiers playing touch butt in their underwear, I have seen enough to know whos gonna win the war",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Mfs are like rats in a tunnel,believe,neutral
