reply_text,username,date,likes,replies
🇮🇷🇺🇸 Iran has released a video of captured U.S. soldiers... https://t.co/HwQoHtX5W4,ug_chelsea,Wed Mar 11 16:44:50 +0000 2026,1024,52
"@ug_chelsea This is clearly AI 
You've become a fake news peddler nowadays 🙄",Jhemil_04,Wed Mar 11 17:10:47 +0000 2026,11,0
@ug_chelsea @grok is this video fake or original..??,vkarnan1,Wed Mar 11 17:23:40 +0000 2026,2,4
@ug_chelsea https://t.co/d5Rmj3TxPg,BonezCallsign,Thu Mar 12 18:10:24 +0000 2026,5,0
@ug_chelsea @grok is this real?,Dickiejohnsun,Wed Mar 11 18:30:49 +0000 2026,1,1
@ug_chelsea https://t.co/KYxwz1aqDh,Shawafl9i,Thu Mar 12 13:16:26 +0000 2026,1,0
@ug_chelsea Iran has right to defend itself ... ....173 captured...   ...enemy must bleed,GordonOmosh,Thu Mar 12 17:20:16 +0000 2026,1,0
@ug_chelsea It’s fake dip shit look at the AI watermark on the bottom right hand corner can’t believe you guys are falling for this,StevenWils67031,Wed Mar 11 17:11:08 +0000 2026,1,0
@ug_chelsea 100% fake,Sahar54826239,Thu Mar 12 14:32:15 +0000 2026,0,0
@ug_chelsea Your retarded if you think this is real,an86490,Thu Mar 12 14:02:19 +0000 2026,0,0
@ug_chelsea Allah Hu Akbar ❤️,Hussain56922D,Thu Mar 12 13:51:37 +0000 2026,0,0
@ug_chelsea This is ai can't you guys tell? Man no wonder we're fucked.,hungrytick1,Thu Mar 12 13:42:51 +0000 2026,0,0
@ug_chelsea We’re,Adamlq580,Thu Mar 12 06:11:02 +0000 2026,0,0
@ug_chelsea 🔥🔥,MahadiMd40986,Thu Mar 12 01:52:00 +0000 2026,0,0
@ug_chelsea 🤣 https://t.co/EiMAlZlEgb,IGNASIUS_XII,Sun Mar 15 15:49:24 +0000 2026,0,0
@ug_chelsea https://t.co/4bIbFBt1jd,ParekarGhyshyam,Thu Mar 12 05:43:54 +0000 2026,0,0
@ug_chelsea Dont worry usa will destroy those terrorist,brechties,Thu Mar 12 09:38:07 +0000 2026,0,0
@ug_chelsea ai naman,biringquez31,Thu Mar 12 02:39:42 +0000 2026,0,0
@ug_chelsea Nice try retards,WilfWill81,Thu Mar 12 07:01:58 +0000 2026,0,0
"@ug_chelsea You Khomeini ass lickers will not be annihilated, that’s fine, but you all be crippled!",jojit_,Thu Mar 12 15:38:12 +0000 2026,0,0
@ug_chelsea They wish it was true it’s all Arab bullshit,marino_scott196,Fri Mar 13 18:05:17 +0000 2026,0,0
@ug_chelsea Haaaaaaaa fake,Danielostedi,Fri Mar 13 03:49:48 +0000 2026,0,0
@ug_chelsea AI FAKE NEWS,lukasz19825,Wed Mar 11 23:05:15 +0000 2026,0,1
@ug_chelsea Shoot  him,Hashik515760,Thu Mar 12 14:01:16 +0000 2026,0,0
"@ug_chelsea Your Taqiyya isn’t working. It has been exposed for what it is, complete lies.

The world knows islam is nothing but BS, a way to take advantage of others, to rape little boys, pillage, murder. 

You are scumbags! https://t.co/bZ7CTZXZlk",Lieberal_Lies,Mon Mar 30 14:27:39 +0000 2026,0,0
@ug_chelsea Bullshit.,GeorgeSmit7259,Fri Mar 13 03:15:53 +0000 2026,0,0
"@ug_chelsea So, Iran can't win a war without AI?",ikenna92850,Wed Mar 11 23:21:34 +0000 2026,0,0
@ug_chelsea This looks real 👌,Solanga138787,Thu Mar 12 14:47:58 +0000 2026,0,0
@ug_chelsea Fake hahahaha,MinhChu75400302,Thu Mar 12 00:10:19 +0000 2026,0,0
"@ug_chelsea Hahahaha so funny, Fake",MinhChu75400302,Thu Mar 12 00:00:22 +0000 2026,0,0
@ug_chelsea .,lawrenceorgone1,Wed Mar 11 23:20:02 +0000 2026,0,0
@ug_chelsea Ai,aaaazlan77,Wed Mar 11 23:36:50 +0000 2026,0,0
@ug_chelsea Why are you posting fake video? You seem to have turned into NAFO.,wavingdog,Thu Mar 12 02:26:57 +0000 2026,0,0
@ug_chelsea @Makoonwards Fake,bigdogpjt,Wed Mar 11 17:53:29 +0000 2026,0,0
@ug_chelsea 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 you Muslims are hilarious 😂 and dumb 🤣🤣🤣🤣🤣,AlphaSicari0,Wed Mar 11 23:23:03 +0000 2026,0,0
@ug_chelsea Don't let live kill all American soldiers and cut off their heads send to trump.,edwardus4,Thu Mar 12 02:00:32 +0000 2026,0,0
@ug_chelsea 🤣🤣🤣🤣🤣🤣,thys37372427713,Wed Mar 11 21:35:13 +0000 2026,0,0
"@ug_chelsea Chinese AI slop most probably.
Definitely not real.",kdbsuff,Fri Mar 13 23:07:57 +0000 2026,0,0
@ug_chelsea LOL so faaaake !,jacques_selaire,Wed Mar 11 18:12:22 +0000 2026,0,0
@ug_chelsea cmon bro...this is AI,PapyOG7,Wed Mar 11 19:39:45 +0000 2026,0,0
@ug_chelsea By the way fake news  everybody block this account posting fake shit  🤣🤡🤡🤡🤡🤡🤡🤡 https://t.co/DTjEqEls5w,JoshuaW43833057,Wed Mar 11 22:32:43 +0000 2026,0,0
@ug_chelsea Stop this AI crap in social media 😒,adilnino2,Wed Mar 11 20:46:20 +0000 2026,0,0
@ug_chelsea This is hilarious 🤣😂😂🤣🤣😂😂,ernc103115,Mon Mar 30 10:24:55 +0000 2026,0,0
@ug_chelsea @grok  cest vrai ?,PierreL15580783,Wed Mar 11 17:08:55 +0000 2026,0,1
"@ug_chelsea هل هذا صحيح 
@grok",saif_almlok,Wed Mar 11 17:46:48 +0000 2026,0,2
@ug_chelsea @grok Did Iran really take American soldiers hostage?,pepeeeee35650,Wed Mar 11 17:29:55 +0000 2026,0,1
